10000000, 1, 0.0149911
10000000, 2, 0.0186504
10000000, 4, 0.0152887
10000000, 8, 0.0149607
10000000, 16, 0.0156205
10000000, 32, 0.0156556
10000000, 64, 0.0164959
10000000, 128, 0.017924
10000000, 256, 0.02048
100000000, 1, 0.150604
100000000, 2, 0.154316
100000000, 4, 0.150921
100000000, 8, 0.150237
100000000, 16, 0.152886
100000000, 32, 0.152037
100000000, 64, 0.153207
100000000, 128, 0.153458
100000000, 256, 0.158737
1000000000, 1, 1.54788
1000000000, 2, 1.49333
1000000000, 4, 1.48664
1000000000, 8, 1.52319
1000000000, 16, 1.52296
1000000000, 32, 1.54423
1000000000, 64, 1.51839
1000000000, 128, 1.51835
1000000000, 256, 1.69536
